Timestamp,PosX,PosY
1736247099.1818163,504,338
1736247099.1998172,497,335
1736247099.2178166,492,334
1736247099.2605815,487,335
1736247099.2922635,484,335
1736247099.324796,482,335
1736247099.373105,481,333
1736247099.4057534,479,331
1736247099.4365609,478,330
1736247099.5159726,477,327
1736247099.5339727,477,326
1736247099.5519743,476,324
1736247099.5960808,476,323
1736247099.628469,476,322
1736247099.6595857,474,321
1736247099.7408988,472,320
1736247099.7589748,470,318
1736247099.7772293,468,317
1736247099.8223946,464,314
1736247099.8523927,460,311
1736247099.8848443,454,306
1736247099.9647226,441,298
1736247099.9957557,433,294
1736247100.0778677,426,290
1736247100.0949128,420,285
1736247100.187757,405,279
1736247100.2217317,391,271
1736247100.4128187,354,257
1736247100.6408117,302,260
1736247100.705437,289,266
1736247100.781335,279,277
1736247100.8610225,273,291
1736247100.8921,271,298
1736247100.9245985,269,306
1736247101.0061831,272,321
1736247101.03633,272,327
1736247101.1480315,285,341
1736247101.2300153,297,345
1736247101.2602649,303,345
1736247101.3079865,310,344
1736247101.4058924,325,339
1736247101.707007,390,307
1736247101.7240074,397,304
1736247101.7575915,403,301
1736247101.7896504,410,298
1736247101.9192493,423,286
1736247102.7973146,572,186
1736247102.8272836,575,190
1736247102.8593583,577,195
1736247103.0055435,577,213
1736247103.0913198,578,223
1736247104.321019,558,303
1736247104.395696,552,292
1736247104.4286292,551,290
1736247104.475507,549,289
1736247104.5389178,550,288
1736247104.587361,552,289
1736247104.6203113,553,291
1736247104.6526108,554,292
1736247104.7007077,554,294
1736247104.7307086,555,295
1736247104.7954473,558,298
1736247104.8558578,560,299
